time,fprint,seed,id,group1,group2,name,runtime,lang,num_atts,sub_atts,in_tokens,out_tokens,total_tokens,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg,
2023-11-09T10:41:59.315,fp_eeff13170a,1,254496bf-93e4-11ec-986f-f39926f24a9c,Programming I and II,,Multiplication of large numbers,cs-dotnet-core,en,0,0,427,208,635,1,8,8,0,0,0,0,0,0,,
2023-11-09T10:42:17.795,fp_eeff13170a,1,2fe122ad-f02f-11e9-9ce9-00505601122b,Algoritmizace,,Prime factorization II,python3,en,0,0,405,193,598,0.71,14,10,0,0,0,4,0,0,,
2023-11-09T10:42:23.746,fp_eeff13170a,1,e5f69567-a813-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,519,151,670,1,7,7,0,0,0,0,0,0,,
2023-11-09T10:42:27.853,fp_eeff13170a,1,9e9b946e-2c31-11ec-986f-f39926f24a9c,Programming I and II,,"Perfect number, square and cube",python3,en,0,0,427,134,561,0.7,7,5,0,0,2,0,0,0,,
2023-11-09T10:42:32.922,fp_eeff13170a,1,1601b407-c884-11e8-a4be-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,668,124,792,1,4,4,0,0,0,0,0,0,,
2023-11-09T10:42:37.103,fp_eeff13170a,1,efa010e8-a811-11e7-a937-00505601122b,Programming I and II,,Find a permutation,cs-dotnet-core,en,0,0,496,110,606,0.15,8,1,0,6,1,0,0,0,,
2023-11-09T10:42:45.036,fp_eeff13170a,1,06a200d4-7d48-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),cxx-gcc-linux,al,0,0,582,392,974,0,10,0,10,0,0,0,0,0,,
2023-11-09T10:42:51.065,fp_eeff13170a,1,2d2eaa54-a88c-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,574,133,707,1,10,10,0,0,0,0,0,0,,
2023-11-09T10:42:55.908,fp_eeff13170a,1,02c10843-2238-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,497,110,607,1,10,10,0,0,0,0,0,0,,
2023-11-09T11:23:11.040,fp_eeff13170a,1,99581db8-343f-11ec-986f-f39926f24a9c,Programming I and II,,Minimum and maximum sums,python3,en,0,0,444,66,510,1,3,3,0,0,0,0,0,0,,
2023-11-09T11:23:15.811,fp_eeff13170a,1,47e52b91-a88d-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,519,216,735,0,10,0,0,10,0,0,0,0,,
2023-11-09T11:23:19.394,fp_eeff13170a,1,9cf80424-0cf5-11eb-98c0-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,518,113,631,1,5,5,0,0,0,0,0,0,,
2023-11-09T11:33:23.728,fp_eeff13170a,1,fd87c76a-ec64-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,533,57,590,1,5,5,0,0,0,0,0,0,,
2023-11-09T11:33:29.759,fp_eeff13170a,1,0018a241-31ed-11ec-986f-f39926f24a9c,Java,,QUICK-SORT,java,en,0,0,461,310,771,1,3,3,0,0,0,0,0,0,,
2023-11-09T11:33:34.046,fp_eeff13170a,1,1ad5c2a6-a88c-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,533,50,583,0,5,0,0,0,5,0,0,0,,
2023-11-09T11:33:38.469,fp_eeff13170a,1,20f681d4-eaa7-11e9-9ce9-00505601122b,Programming I and II,,Good numbers,python3,en,0,0,441,107,548,1,5,5,0,0,0,0,0,0,,
2023-11-09T11:33:42.687,fp_eeff13170a,1,007a8871-2c62-4740-9615-613663a20e42,Programming I and II,,(title in AnonLang),python3,al,0,0,547,161,708,1,1,1,0,0,0,0,0,0,,
2023-11-09T11:33:46.321,fp_eeff13170a,1,aea0d783-4b99-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,541,115,656,0.25,4,1,0,0,3,0,0,0,,
2023-11-09T11:33:50.275,fp_eeff13170a,1,c9d9150f-d905-11e8-a4be-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,527,93,620,0,2,0,0,0,2,0,0,0,,
2023-11-09T11:33:55.392,fp_eeff13170a,1,b8027a86-fc08-11e8-b0fd-00505601122b,Web Applications,,PHP - Sieve of Eratosthenes,php-linux,en,5,5,1053,148,1201,0.67,3,2,0,1,0,0,0,0,,
2023-11-09T11:34:03.503,fp_eeff13170a,1,c079d101-827c-11eb-a1a9-005056ad4f31,Programming I and II,,Permutations in the columns of a matrix,cs-dotnet-core,en,0,0,526,297,823,1,8,8,0,0,0,0,0,0,,
2023-11-09T11:34:07.262,fp_eeff13170a,1,ae5acb61-5ac6-11e9-b0fd-00505601122b,Programming I and II,,Young tableaux R,python3,en,0,0,407,89,496,0.29,7,2,0,0,5,0,0,0,,
2023-11-09T11:34:12.131,fp_eeff13170a,1,e70fa3b0-28ad-11e8-9de3-00505601122b,Programming I and II,,Queue,python3,en,0,0,400,172,572,1,5,5,0,0,0,0,0,0,,
2023-11-09T12:19:36.742,fp_eeff13170a,1,350d5208-a88d-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,602,77,679,0.5,10,5,0,2,3,0,0,0,,
2023-11-09T12:19:49.409,fp_eeff13170a,1,bdb8d1b4-6dbb-11ea-a595-00505601122b,Non-Procedural Programming,,Lists,haskell,en,0,0,516,109,625,0.57,7,4,0,0,0,3,0,0,,
2023-11-09T12:19:53.457,fp_eeff13170a,1,3deef23c-8eff-11ec-986f-f39926f24a9c,Programming I and II,,Odd Fib Sum,python3,en,0,0,453,102,555,1,5,5,0,0,0,0,0,0,,
2023-11-09T12:19:56.370,fp_eeff13170a,1,fd9fb352-c2fc-4ac1-88d2-145e40a583d8,Programming I and II,,(title in AnonLang),python3,al,1,1,561,105,666,0,1,0,0,0,0,0,0,1,no solution id,
2023-11-09T12:20:11.126,fp_eeff13170a,1,e5d6ac79-0a4a-11ea-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,544,161,705,0,5,0,0,0,5,0,0,0,,
2023-11-09T12:20:16.454,fp_eeff13170a,1,593de6bb-c567-11ec-8da3-d412db16db0b,Programming I and II,,Cycles,python3,en,0,0,408,248,656,0,5,0,0,5,0,0,0,0,,
2023-11-09T12:20:21.058,fp_eeff13170a,1,43ee850b-ca08-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,578,152,730,1,4,4,0,0,0,0,0,0,,
2023-11-09T12:20:24.952,fp_eeff13170a,1,4baf3bb9-a7bb-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,547,107,654,1,5,5,0,0,0,0,0,0,,
2023-11-09T12:20:28.737,fp_eeff13170a,1,4b5b4f9d-e65e-11e7-9ef6-00505601122b,Programming I and II,,Carrots and Parsley,cs-dotnet-core,en,0,0,451,107,558,1,3,3,0,0,0,0,0,0,,
2023-11-09T12:30:36.502,fp_eeff13170a,1,f39ba7b1-a7b1-11e7-a937-00505601122b,Programming I and II,,King's path on a chessboard (length),python3,en,0,0,406,415,821,0,4,0,0,0,4,0,0,0,,
2023-11-09T12:30:39.998,fp_eeff13170a,1,deaaff6f-28ad-11e8-9de3-00505601122b,Programming I and II,,Evaluation of prefix notation,python3,en,0,0,394,95,489,0.2,5,1,0,4,0,0,0,0,,
2023-11-09T12:30:43.641,fp_eeff13170a,1,2c1df1fa-fe8a-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,559,89,648,1,5,5,0,0,0,0,0,0,,
2023-11-09T12:30:47.370,fp_eeff13170a,1,a5b391fc-d5af-11ec-8da3-d412db16db0b,Programming I and II,,Ordered N-tuples,python3,en,0,0,472,111,583,1,5,5,0,0,0,0,0,0,,
2023-11-09T12:30:52.595,fp_eeff13170a,1,d07507f7-1046-490f-ab38-8867bbf47416,Programming I and II,,Dice,cs-dotnet-core,en,0,0,503,173,676,1,10,10,0,0,0,0,0,0,,
2023-11-09T12:30:56.610,fp_eeff13170a,1,b98b1f22-cb42-11ec-8da3-d412db16db0b,Programming I and II,,(title in AnonLang),python3,al,0,0,543,148,691,1,4,4,0,0,0,0,0,0,,
2023-11-09T12:31:01.042,fp_eeff13170a,1,023a640f-a811-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,545,180,725,0.5,4,2,0,0,2,0,0,0,,
2023-11-09T12:31:06.787,fp_eeff13170a,1,6e7c41f3-f488-11e8-b0fd-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,629,310,939,0,2,0,0,0,2,0,0,0,,
2023-11-09T12:31:11.696,fp_eeff13170a,1,5a251e33-a88c-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,559,117,676,1,5,5,0,0,0,0,0,0,,
2023-11-09T12:31:15.894,fp_eeff13170a,1,72502276-519e-11ea-a595-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,572,135,707,0,3,0,0,0,3,0,0,0,,
2023-11-09T12:31:20.825,fp_eeff13170a,1,ff308921-a7b1-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,558,159,717,0.1,10,1,0,9,0,0,0,0,,
2023-11-09T12:31:26.053,fp_eeff13170a,1,e1ab5360-28ad-11e8-9de3-00505601122b,Programming I and II,,Stack,python3,en,10,10,875,185,1060,0.4,5,2,0,0,3,0,0,0,,
2023-11-09T12:31:29.246,fp_eeff13170a,1,8bdf764a-f025-11e9-9ce9-00505601122b,Programming I and II,,Is a number symmetric in Python?,python3,en,0,0,417,67,484,1,3,3,0,0,0,0,0,0,,
2023-11-09T12:31:32.313,fp_eeff13170a,1,b2b9630f-8e91-11ec-986f-f39926f24a9c,Programming I and II,,Third Highest Score,python3,en,0,0,446,45,491,1,5,5,0,0,0,0,0,0,,
2023-11-09T12:31:44.413,fp_eeff13170a,1,714cf5f4-9950-11ec-986f-f39926f24a9c,Programming I and II,,Margit the Prime Lover,python3,en,0,0,442,138,580,0,5,0,0,0,2,3,0,0,,
2023-11-09T12:31:48.935,fp_eeff13170a,1,97f2d540-4004-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,580,109,689,1,4,4,0,0,0,0,0,0,,
2023-11-09T12:31:53.134,fp_eeff13170a,1,e60f4aa9-8285-11eb-a1a9-005056ad4f31,Programming I and II,,Common permutation,cs-dotnet-core,en,0,0,514,170,684,0.62,8,5,0,0,3,0,0,0,,
2023-11-09T12:31:56.929,fp_eeff13170a,1,fd2bf517-567b-11ea-a595-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,611,104,715,0,5,0,0,5,0,0,0,0,,
2023-11-09T12:32:17.704,fp_eeff13170a,1,d03c30e7-8ef8-11ec-986f-f39926f24a9c,Programming I and II,,Love Constant,python3,en,0,0,476,96,572,0.4,5,2,0,0,0,3,0,0,,
2023-11-09T12:32:21.300,fp_eeff13170a,1,747a88d9-542a-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,1,1,542,90,632,0,5,0,0,1,4,0,0,0,,
2023-11-09T12:32:26.188,fp_eeff13170a,1,c35954e6-a88c-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,629,194,823,0,10,0,0,0,10,0,0,0,,
2023-11-09T12:32:30.487,fp_eeff13170a,1,c774fba0-a4bc-11ec-986f-f39926f24a9c,Programming I and II,,Merge two sorted sequences,python3,en,0,0,432,114,546,1,4,4,0,0,0,0,0,0,,
2023-11-09T12:32:35.097,fp_eeff13170a,1,889efd76-9a9f-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,621,152,773,0.25,4,1,0,0,3,0,0,0,,
2023-11-09T12:32:38.881,fp_eeff13170a,1,dd72607b-2e00-11ec-986f-f39926f24a9c,Programming I and II,,Emulate the list.insert() function,python3,en,0,0,428,55,483,1,3,3,0,0,0,0,0,0,,
